Datarate
web_videocall,687955.483635835,340809.024135237,230494.524217779,170545.135633418,134884.561830747,111587.924429975,94031.8534819489,81166.3596953656,71228.9610455394,63007.1698984661,56190.0519253227,50083.8642014986,44488.6087667458,40830.8335718962,38149.6109173205,34351.2121566715,
web_multiple-new-tabs,685096.137797913,384203.894056876,242995.959217348,181309.088353332,144601.650227488,121012.828306666,102113.021063223,87700.6680528457,78078.8911840359,69608.665070717,61807.1821369777,55069.7508511206,51271.3520904716,46127.6545503414,42944.874511081,39466.7849836418,
web_ftp-download,688392.979173877,337882.491482544,232260.131210594,169643.582328237,135226.745840859,110866.056792205,93330.2981370161,81056.985810855,70833.6525772365,63164.9807889743,55991.6164491391,50296.3620342622,45179.2267232274,41463.6396179937,37932.4256323636,34230.9008837097,
youtube_audio-video,694838.225939684,374975.863172305,254697.402375925,193629.275201426,157910.889488371,137214.225570824,118070.670813329,106306.728292175,95445.9015602653,87203.7981203544,82297.5981580188,75805.4768702785,71391.4593882409,65769.6417243927,62896.233529891,60902.503863668,
bittorrent_leeching,685022.701046884,362540.052503442,233646.05457575,174488.84541206,137700.158114865,113272.28225144,97053.6976625721,83183.5266225552,71308.6477328257,64202.4702077612,57260.3535094628,51693.2227878699,46577.6499608996,43066.7482681072,38935.5404017328,35505.8878802912,

PacketsOverThreshold
web_videocall,159.3125,1462.1875,995.5625,731.125,580.875,482.75,407.125,353.4375,302.125,270.375,240.3125,217.0625,192.6875,175.75,165.375,149.75,
web_multiple-new-tabs,157.375,1606.0625,1020.1875,748.25,601.4375,496.9375,420.125,358.5,314,275,245.0625,219.625,200.75,184.25,169.75,148.5,
web_ftp-download,159.3125,1443,998.5625,730.0625,582,484.5,398.375,349.75,302.75,273.75,244.0625,215.75,195.25,180.375,162.4375,147.5,
youtube_audio-video,177.4375,1496.375,988.5,718.4375,566.375,486.625,398.6875,349.75,304.0625,272.8125,248.375,218,201.8125,178.5,157,155.8125,
bittorrent_leeching,162.1875,1550.875,991.4375,744.3125,590.5,481.25,408.8125,351.375,302.5625,269.25,240.0625,216,193.3125,181.625,165.0625,149.875,

