NodeIndex,Time (s),Time (ms),Payload (bytes)
0,0.0184704545454545,18,100
0,0.0216368181818182,22,100
0,0.0321913636363636,32,1400
0,0.03483,35,100
0,0.0364131818181818,36,100
0,0.0453845454545455,45,1400
0,0.0543559090909091,54,1400
0,0.0554113636363636,55,100
0,0.0633272727272727,63,1400
0,0.0654381818181818,65,100
0,0.0686045454545454,69,100
0,0.0791590909090909,79,1400
0,0.0886581818181818,89,1400
0,0.0965740909090909,97,1400
0,0.098685,99,100
0,0.108184090909091,108,1400
0,0.111350454545455,111,100
0,0.114516818181818,115,100
0,0.122960454545455,123,1400
0,0.132987272727273,133,1400
0,0.143014090909091,143,1400
0,0.153568636363636,154,1400
0,0.156735,157,100
0,0.158845909090909,159,100
0,0.168872727272727,169,1400
0,0.172039090909091,172,100
0,0.180482727272727,180,1400
0,0.183121363636364,183,100
0,0.18576,186,100
0,0.186815454545455,187,100
0,0.189454090909091,189,100
0,0.202119545454545,202,100
0,0.203175,203,100
0,0.213201818181818,213,1400
0,0.222700909090909,223,1400
0,0.226395,226,100
0,0.236421818181818,236,1400
0,0.244865454545455,245,1400
0,0.245920909090909,246,100
0,0.270196363636364,270,1400
0,0.273362727272727,273,100
0,0.274418181818182,274,100
0,0.283389545454545,283,1400
0,0.312414545454545,312,1400
0,0.335634545454545,336,1400
0,0.350938636363636,351,1400
0,0.375214090909091,375,1400
0,0.397378636363636,397,1300
0,0.432208636363636,432,1400
0,0.44118,441,1400
0,0.465455454545455,465,100
0,0.466510909090909,467,100
0,0.468621818181818,469,100
0,0.471788181818182,472,100
0,0.480759545454545,481,1400
0,0.482342727272727,482,100
0,0.484981363636364,485,100
0,0.494480454545455,494,1400
0,0.502396363636364,502,1400
0,0.504507272727273,505,100
0,0.512950909090909,513,1400
0,0.523505454545455,524,1400
0,0.525616363636364,526,100
0,0.536170909090909,536,1400
0,0.537754090909091,538,100
0,0.540392727272727,540,100
0,0.541448181818182,541,100
0,0.552002727272727,552,1400
0,0.560446363636364,560,1400
0,0.562557272727273,563,100
0,0.563612727272727,564,100
0,0.564668181818182,565,100
0,0.586832727272727,587,1400
0,0.613746818181818,614,1400
0,0.623245909090909,623,1400
0,0.653326363636364,653,100
0,0.663880909090909,664,1400
0,0.664936363636364,665,100
0,0.672852272727273,673,1400
0,0.676546363636364,677,100
0,0.679185,679,100
0,0.682879090909091,683,100
0,0.684462272727273,684,100
0,0.692378181818182,692,1400
0,0.696072272727273,696,100
0,0.706626818181818,707,1400
0,0.715070454545454,715,1400
0,0.716653636363636,717,100
0,0.71982,720,100
0,0.729319090909091,729,1400
0,0.73143,731,100
0,0.741456818181818,741,1400
0,0.742512272727273,743,100
0,0.744623181818182,745,100
0,0.746734090909091,747,100
0,0.756233181818182,756,1400
0,0.764676818181818,765,1400
0,0.786313636363636,786,100
0,0.794229545454545,794,1400
0,0.796340454545455,796,100
0,0.798451363636364,798,100
0,0.806367272727273,806,1400
0,0.815338636363636,815,1400
0,0.824837727272727,825,1400
0,0.825893181818182,826,100
0,0.835392272727273,835,1400
0,0.838030909090909,838,100
0,0.841725,842,100
0,0.850168636363636,850,1400
0,0.851224090909091,851,100
0,0.861778636363636,862,1400
0,0.863889545454545,864,100
0,0.873916363636364,874,1400
0,0.882887727272727,883,1400
0,0.885526363636364,886,100
0,0.896080909090909,896,1400
0,0.899247272727273,899,100
0,0.901885909090909,902,100
0,0.909801818181818,910,1400
0,0.911912727272727,912,100
0,0.921411818181818,921,1400
0,0.929327727272727,929,1400
0,0.932494090909091,932,100
0,0.941465454545454,941,1400
0,0.943048636363636,943,100
0,0.945159545454545,945,100
0,0.955186363636364,955,1400
0,0.963102272727273,963,1400
0,0.971018181818182,971,1400
0,0.972073636363636,972,100
0,0.979989545454545,980,1400
0,0.987905454545455,988,1400
0,1.00320954545455,1003,100
0,1.01112545454545,1011,1400
0,1.02062454545455,1021,1400
0,1.04806636363636,1048,1400
0,1.05598227272727,1056,1400
0,1.07656363636364,1077,100
0,1.08447954545455,1084,1400
0,1.085535,1086,100
0,1.09450636363636,1095,1400
0,1.09820045454545,1098,100
0,1.09978363636364,1100,100
0,1.10928272727273,1109,100
0,1.11825409090909,1118,1400
0,1.12089272727273,1121,100
0,1.12194818181818,1122,100
0,1.13091954545455,1131,1400
0,1.14094636363636,1141,1400
0,1.15097318181818,1151,1400
0,1.15466727272727,1155,100
0,1.15836136363636,1158,100
0,1.16838818181818,1168,1400
0,1.17735954545455,1177,1400
0,1.19160818181818,1192,100
0,1.19530227272727,1195,100
0,1.20532909090909,1205,1400
0,1.213245,1213,1400
0,1.21641136363636,1216,100
0,1.22432727272727,1224,1400
0,1.23435409090909,1234,1400
0,1.24279772727273,1243,1400
0,1.24596409090909,1246,100
0,1.25493545454545,1255,1400
0,1.26549,1265,1400
0,1.26707318181818,1267,100
0,1.27551681818182,1276,1400
0,1.27762772727273,1278,100
0,1.28607136363636,1286,1400
0,1.28923772727273,1289,100
0,1.29820909090909,1298,1400
0,1.30770818181818,1308,1400
0,1.31826272727273,1318,1400
0,1.32670636363636,1327,1400
0,1.329345,1329,100
0,1.33303909090909,1333,100
0,1.33462227272727,1335,100
0,1.33673318181818,1337,100
0,1.34728772727273,1347,1400
0,1.35784227272727,1358,1400
0,1.36048090909091,1360,100
0,1.36998,1370,1400
0,1.37367409090909,1374,100
0,1.37631272727273,1376,100
0,1.38000681818182,1380,100
0,1.38950590909091,1390,1400
0,1.399005,1399,1400
0,1.40111590909091,1401,100
0,1.40322681818182,1403,100
0,1.41272590909091,1413,1400
0,1.41483681818182,1415,100
0,1.41800318181818,1418,100
0,1.42644681818182,1426,1400
0,1.42750227272727,1428,100
0,1.43752909090909,1438,1400
0,1.445445,1445,1400
0,1.45494409090909,1455,1400
0,1.45599954545455,1456,100
0,1.45863818181818,1459,100
0,1.45969363636364,1460,100
0,1.46919272727273,1469,1400
0,1.47921954545455,1479,1400
0,1.49241272727273,1492,100
0,1.50085636363636,1501,1400
0,1.5093,1509,1400
0,1.51246636363636,1512,100
0,1.51404954545455,1514,100
0,1.52407636363636,1524,1400
0,1.54729636363636,1547,1400
0,1.58001545454545,1580,1400
0,1.59004227272727,1590,1400
0,1.62012272727273,1620,1400
0,1.63542681818182,1635,100
0,1.64492590909091,1645,1400
0,1.64862,1649,100
0,1.64967545454545,1650,100
0,1.65864681818182,1659,1400
0,1.66128545454545,1661,100
0,1.66972909090909,1670,1400
0,1.67131227272727,1671,100
0,1.67922818181818,1679,1400
0,1.68714409090909,1687,1400
0,1.69717090909091,1697,1400
0,1.71300272727273,1713,100
0,1.72250181818182,1723,1400
0,1.73252863636364,1733,1400
0,1.74044454545455,1740,1400
0,1.75099909090909,1751,1400
0,1.75205454545455,1752,100
0,1.78794,1788,1400
0,1.79743909090909,1797,1400
0,1.82065909090909,1821,100
0,1.82224227272727,1822,100
0,1.82540863636364,1825,100
0,1.82646409090909,1826,100
0,1.83490772727273,1835,1400
0,1.83860181818182,1839,100
0,1.84757318181818,1848,1400
0,1.84862863636364,1849,100
0,1.85021181818182,1850,100
0,1.85337818181818,1853,100
0,1.85601681818182,1856,100
0,1.86498818181818,1865,1400
0,1.87343181818182,1873,1400
0,1.88398636363636,1884,1400
0,1.89243,1892,1400
0,1.90245681818182,1902,1400
0,1.91142818181818,1911,1400
0,1.91934409090909,1919,1400
0,1.92937090909091,1929,1400
0,1.93939772727273,1939,1400
0,1.94309181818182,1943,100
0,1.95100772727273,1951,1400
0,1.95997909090909,1960,1400
0,1.97000590909091,1970,1400
0,1.97264454545455,1973,100
0,1.97633863636364,1976,100
0,1.98583772727273,1986,1400
0,1.99480909090909,1995,1400
0,2.00378045454545,2004,1400
0,2.00747454545455,2007,100
0,2.01539045454545,2015,1400
0,2.01697363636364,2017,100
0,2.01802909090909,2018,100
0,2.02805590909091,2028,1400
0,2.03069454545455,2031,100
0,2.04124909090909,2041,1400
0,2.05180363636364,2052,1400
0,2.06024727272727,2060,1400
0,2.06288590909091,2063,100
0,2.06499681818182,2065,100
0,2.07396818181818,2074,1400
0,2.07555136363636,2076,100
0,2.07871772727273,2079,100
0,2.08768909090909,2088,1400
0,2.09666045454545,2097,1400
0,2.10035454545455,2100,100
0,2.10827045454545,2108,1400
0,2.11143681818182,2111,100
0,2.12040818181818,2120,1400
0,2.12304681818182,2123,100
0,2.12674090909091,2127,100
0,2.14785,2148,100
0,2.15154409090909,2152,100
0,2.15471045454545,2155,100
0,2.15682136363636,2157,100
0,2.16473727272727,2165,1400
0,2.16684818181818,2167,100
0,2.16843136363636,2168,100
0,2.17793045454545,2178,1400
0,2.18637409090909,2186,1400
0,2.19587318181818,2196,1400
0,2.19745636363636,2197,100
0,2.19956727272727,2200,100
0,2.20273363636364,2203,100
0,2.21223272727273,2212,1400
0,2.22173181818182,2222,1400
0,2.22489818181818,2225,100
0,2.234925,2235,1400
0,2.23756363636364,2238,100
0,2.24759045454545,2248,1400
0,2.24970136363636,2250,100
0,2.26025590909091,2260,1400
0,2.28030954545455,2280,100
0,2.28189272727273,2282,100
0,2.28558681818182,2286,100
0,2.29350272727273,2294,1400
0,2.30141863636364,2301,1400
0,2.30511272727273,2305,100
0,2.30880681818182,2309,100
0,2.31197318181818,2312,100
0,2.32041681818182,2320,1400
0,2.32147227272727,2321,100
0,2.32358318181818,2324,100
0,2.32622181818182,2326,100
0,2.32886045454545,2329,100
0,2.34363681818182,2344,1400
0,2.37213409090909,2372,1400
0,2.38479954545455,2385,100
0,2.39271545454545,2393,1400
0,2.40274227272727,2403,1300
0,2.41329681818182,2413,1400
