NodeIndex,Time (s),Time (ms),Payload (bytes)
0,0.618496363636364,618,1400
0,0.620607272727273,621,100
0,0.623773636363636,624,100
0,0.624829090909091,625,100
0,0.635383636363636,635,1400
0,0.645938181818182,646,1400
0,0.656492727272727,656,1400
0,0.664936363636364,665,1400
0,0.672852272727273,673,1400
0,0.681295909090909,681,1400
0,0.682351363636364,682,100
0,0.683406818181818,683,100
0,0.693961363636364,694,1400
0,0.702405,702,1400
0,0.703988181818182,704,100
0,0.714542727272727,715,1400
0,0.715598181818182,716,100
0,0.725625,726,1400
0,0.728263636363636,728,100
0,0.738818181818182,739,1400
0,0.739873636363636,740,100
0,0.741456818181818,741,100
0,0.750955909090909,751,1400
0,0.759399545454545,759,1400
0,0.797923636363636,798,1400
0,0.80109,801,100
0,0.802145454545454,802,100
0,0.805839545454545,806,100
0,0.810589090909091,811,300
0,0.8127,813,100
0,0.821671363636364,822,1400
0,0.822726818181818,823,100
0,0.826420909090909,826,100
0,0.828531818181818,829,100
0,0.830115,830,200
0,0.840669545454545,841,1400
0,0.842780454545454,843,200
0,0.847002272727273,847,500
0,0.848057727272727,848,100
0,0.858612272727273,859,1400
0,0.862306363636364,862,600
0,0.864945,865,100
0,0.873916363636364,874,1400
0,0.884470909090909,884,1400
0,0.900830454545455,901,1400
0,0.902941363636364,903,100
0,0.914023636363636,914,1400
0,0.921939545454545,922,100
0,0.925105909090909,925,100
0,0.933549545454545,934,1400
0,0.943048636363636,943,1400
0,0.948853636363636,949,500
0,0.959408181818182,959,1400
0,0.968379545454545,968,100
0,0.976295454545455,976,1400
0,1.00162636363636,1002,1400
0,1.01745818181818,1017,1400
0,1.02062454545455,1021,100
0,1.02326318181818,1023,100
0,1.027485,1027,500
0,1.03117909090909,1031,100
0,1.04173363636364,1042,1400
0,1.0449,1045,100
0,1.06759227272727,1068,1400
0,1.07814681818182,1078,1400
0,1.07973,1080,100
0,1.08922909090909,1089,1400
0,1.09661727272727,1097,100
0,1.09820045454545,1098,100
0,1.11456,1115,1400
0,1.12458681818182,1125,1400
0,1.13514136363636,1135,1400
0,1.13778,1138,100
0,2.00853,2009,100
0,2.01644590909091,2016,1400
0,2.025945,2026,1400
0,2.03491636363636,2035,1400
0,2.03702727272727,2037,100
0,2.04547090909091,2045,1400
0,2.04810954545455,2048,100
0,2.05655318181818,2057,1400
0,2.06446909090909,2064,900
0,2.06974636363636,2070,700
0,2.07871772727273,2079,1400
0,2.08030090909091,2080,100
0,2.083995,2084,100
0,2.08768909090909,2088,100
0,2.08927227272727,2089,200
0,2.09454954545455,2095,400
0,2.10510409090909,2105,1400
0,2.11407545454545,2114,1400
0,2.12199136363636,2122,1400
0,2.12304681818182,2123,100
0,2.12410227272727,2124,100
0,2.12515772727273,2125,100
0,2.12832409090909,2128,100
0,2.13729545454545,2137,1400
0,2.14046181818182,2140,100
0,2.14151727272727,2142,100
0,2.14257272727273,2143,100
0,2.14468363636364,2145,100
0,2.14626681818182,2146,100
0,2.14943318181818,2149,100
0,2.15998772727273,2160,1400
0,2.16209863636364,2162,100
0,2.16579272727273,2166,100
0,2.16790363636364,2168,100
0,2.22120409090909,2221,1400
0,2.22489818181818,2225,100
0,2.22753681818182,2228,100
0,2.23070318181818,2231,200
0,2.23439727272727,2234,100
0,2.24336863636364,2243,1400
0,2.24547954545455,2245,100
0,2.24864590909091,2249,100
0,2.258145,2258,1400
0,2.26817181818182,2268,1400
0,2.27081045454545,2271,100
0,2.28030954545455,2280,1400
0,2.28875318181818,2289,1400
0,2.29139181818182,2291,100
0,2.30194636363636,2302,1400
0,2.31144545454545,2311,1400
0,2.31513954545455,2315,100
0,2.31672272727273,2317,100
0,2.32516636363636,2325,1400
0,2.33255454545455,2333,900
0,2.33519318181818,2335,100
0,2.33730409090909,2337,100
0,2.34627545454545,2346,1400
0,2.35471909090909,2355,1400
0,2.36421818181818,2364,1400
0,2.36791227272727,2368,100
0,2.37582818181818,2376,1300
0,2.38479954545455,2385,200
0,2.39482636363636,2395,1400
0,2.40538090909091,2405,1400
0,2.40801954545455,2408,100
0,2.41013045454545,2410,100
0,2.41224136363636,2412,100
0,2.41540772727273,2415,100
0,2.41857409090909,2419,100
0,2.42754545454545,2428,1400
0,2.43018409090909,2430,100
0,2.43123954545455,2431,100
0,2.43335045454545,2433,100
0,2.43493363636364,2435,100
0,2.443905,2444,1400
0,2.45182090909091,2452,1400
0,2.45498727272727,2455,200
0,2.45868136363636,2459,100
0,2.45973681818182,2460,100
0,2.46818045454545,2468,1400
0,2.478735,2479,1400
0,2.48401227272727,2484,900
0,2.49456681818182,2495,1400
0,2.50459363636364,2505,1400
0,2.50723227272727,2507,100
0,2.50987090909091,2510,100
0,2.513565,2514,100
0,2.51778681818182,2518,200
0,2.52728590909091,2527,1400
0,2.53520181818182,2535,1400
0,2.54522863636364,2545,1400
0,2.54892272727273,2549,100
0,2.55103363636364,2551,200
0,2.56475454545455,2565,1400
0,2.57372590909091,2574,1400
0,2.57742,2577,100
0,2.58533590909091,2585,1400
0,2.58691909090909,2587,100
0,2.59114090909091,2591,700
0,2.59377954545455,2594,200
0,2.59641818181818,2596,100
0,2.60064,2601,600
0,2.61066681818182,2611,1400
0,2.61383318181818,2614,100
0,2.62386,2624,1400
0,2.63177590909091,2632,1400
0,2.63969181818182,2640,1400
0,2.64180272727273,2642,100
0,2.64285818181818,2643,100
0,2.64496909090909,2645,100
0,2.65552363636364,2656,1400
0,2.66343954545455,2663,1400
0,2.67293863636364,2673,1400
0,2.67399409090909,2674,100
0,2.68454863636364,2685,1400
0,2.69246454545455,2692,1400
0,2.69615863636364,2696,400
0,2.70407454545455,2704,1400
0,2.75579181818182,2756,100
0,2.76370772727273,2764,1400
0,2.77320681818182,2773,1400
0,2.78376136363636,2784,1400
0,2.78481681818182,2785,100
0,2.79273272727273,2793,1400
0,2.80117636363636,2801,1400
0,2.80962,2810,1400
0,2.81067545454545,2811,100
0,2.82070227272727,2821,1400
0,2.82281318181818,2823,300
0,2.83231227272727,2832,1400
0,2.83442318181818,2834,100
0,2.84181136363636,2842,1200
0,2.84603318181818,2846,200
0,2.84972727272727,2850,300
0,2.85289363636364,2853,100
0,2.861865,2862,1400
0,2.86397590909091,2864,300
0,2.86555909090909,2866,100
0,2.87453045454545,2875,1400
0,2.87769681818182,2878,100
0,2.88033545454545,2880,100
0,2.88455727272727,2885,700
0,2.88825136363636,2888,100
0,2.88983454545455,2890,100
0,2.89194545454545,2892,100
0,2.9025,2903,1400
0,2.90461090909091,2905,100
0,2.90672181818182,2907,100
0,2.91569318181818,2916,1400
0,2.97321545454545,2973,1400
0,2.98271454545455,2983,1400
0,2.98746409090909,2987,700
0,2.99063045454545,2991,100
0,2.99854636363636,2999,1400
0,3.001185,3001,100
0,3.00276818181818,3003,100
0,3.00540681818182,3005,100
0,3.01543363636364,3015,1400
0,3.01754454545455,3018,100
0,3.02123863636364,3021,100
0,3.02282181818182,3023,100
0,3.03126545454545,3031,1400
0,3.03495954545455,3035,100
0,3.03865363636364,3039,300
0,3.03970909090909,3040,100
0,3.04182,3042,100
0,3.04973590909091,3050,1400
0,3.05395772727273,3054,200
0,3.06451227272727,3065,1400
0,3.07453909090909,3075,1400
0,3.082455,3082,1400
0,3.09037090909091,3090,1400
0,3.094065,3094,400
0,3.10409181818182,3104,1400
0,3.10514727272727,3105,100
0,3.10725818181818,3107,200
0,3.11570181818182,3116,1400
0,3.117285,3117,100
0,3.12572863636364,3126,1400
0,3.12995045454545,3130,100
0,3.13839409090909,3138,1400
0,3.14156045454545,3142,100
